listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
825749,"Location! Beautiful, newly remodeled home - Wine Country",,,"Santa Rosa, CA, USA",48,4.9,255,255,,,,12.0%,3,6,3,2,house,Yes,2016,Within a few hours,100%,"June 6, 2017",house,,1500,6,,Santa Rosa
723324,Quiet Hideaway In The Heart Of Sebastopol,38.402827,-122.830439,"Sebastopol, CA, USA",49,,150,150,185,,,10.0%,2,3,1,1,cottage,Yes,2015,Within 12 hours,90%,"June 6, 2017",cottage,,550,3,,Santa Rosa
445142,Top-Rated Well-Appointed Cottage in Sonoma Valley's Best Area,38.396715,-122.575885,"Kenwood, CA, USA",61,4.9,167,179,,,70,12.0%,2,4,2,1,cottage,Yes,2012,Within an hour,100%,"June 5, 2017",cottage,,800,4,,Santa Rosa
495573,Wine Country Rental/ Executive Rental Peferred,38.450089,-122.681534,"Montgomery Village, Santa Rosa, CA, USA",8,4.9,286,350,,,150,12.0%,3,6,3,2,house,Yes,2013,Within a few hours,90%,"April 20, 2017",house,,1800,6,,Santa Rosa
585362,Family Friendly Sonoma Retreat With Heated Pool and Soaking Tub,38.40200775,-122.57199379,"Kenwood, CA, USA",51,,450,,,,200,,2,5,2,2,bungalow,Yes,2014,Within an hour,100%,"June 7, 2017",bungalow,,1600,5,,Santa Rosa
719531,private wine country getaway,38.463164,-122.719216,"North Junior College Neighborhood Association, Santa Rosa, CA, USA",56,4.9,99,99,109,,40,12.0%,2,2,Studio,1,studio,Yes,2015,Within an hour,100%,"June 7, 2017",studio,1,310,,house,Santa Rosa
407475,Parkside Cottage - Peaceful Wine Country Retreat,38.46031952,-122.64770508,"Santa Rosa, CA, USA",96,4.8,110,110,,,,12.0%,2,2,1,1,cabin,Yes,2012,Within a day,100%,"June 6, 2017",cabin,,270,2,,Santa Rosa
407812,Sunny View Cottage in the Beautiful Wine Country,38.46030807,-122.79690552,"Santa Rosa, CA, USA",131,,175,175,200,,,12.0%,2,6,2,1,cottage,Yes,2012,Within an hour,100%,"June 6, 2017",cottage,,900,6,,Santa Rosa
358920,"Art Deco Villa: Pool, Hot Tub, Private Rooftop Deck, 2 Masters",38.46629333,-122.71569824,"Santa Rosa, CA, USA",82,4.8,415,,,,150,12.0%,4,8,3,3,house,Yes,2011,Within a few hours,90%,"June 5, 2017",house,,,8,,Santa Rosa
394083ha,"Art Deco Villa: Pool, Hot Tub, Private Rooftop Deck, 2 Masters",38.466292,-122.715702,"Santa Rosa, CA, USA",82,4.8,445,395,,,,12.0%,4,8,3,3,house,Yes,2011,Within a few hours,90%,"June 5, 2017",house,,2000,8,,Santa Rosa
617564,Country Ranch with spectacular views,38.374373,-122.632819,"Santa Rosa, CA, USA",29,4.8,450,375,,,180,12.0%,2,6,3,2,house,Yes,2014,Within an hour,100%,"June 4, 2017",house,,2500,6,,Santa Rosa
750418,Spectacular Sunsets On Country Lane Off Hwy 12 near award winning wineries.,38.458608,-122.621776,"Santa Rosa, CA, USA",31,,165,165,,,,12.0%,2,2,1,1,house,Yes,2010,Within a few hours,100%,"June 6, 2017",house,,840,2,,Santa Rosa
410306,"'Little Bird Cottage', Perfectly Located.",38.373945,-122.802098,"Sebastopol, CA, USA",87,,177,175,185,,75,12.0%,3,3,Studio,1,cottage,Yes,2012,Within an hour,100%,"June 6, 2017",cottage,,,3,,Santa Rosa
495008,Villa del Molino a Scenic 3 acre Private Getaway to Wine Country,38.385361,-122.57543,"Glen Ellen, CA, USA",47,4.9,745,495,650,,,12.0%,2,8,4,3,villa,Yes,2013,Within an hour,100%,"June 7, 2017",villa,,,8,,Santa Rosa
578564,"Hot Tub , pool ,playground, fire pit. wine lovers escape",38.4963539,-122.744045,"Santa Rosa, CA, USA",46,4.7,363,299,380,,,12.0%,3,8,3,2,house,Yes,2014,Within an hour,100%,"June 6, 2017",house,,1800,8,,Santa Rosa
7081896ha,"Luxurious Wine Country Villa, Family friendly, Rental Car available",38.5493669,-122.729075,"Santa Rosa, CA, USA",11,4.9,,1,,,500,9.0%,3,10,5,3,villa,Yes,2011,Within an hour,100%,"June 5, 2017",villa,,6000,,,Santa Rosa
721418,Beautiful home on private 20 acre Sally Stanford Ranch,38.4329116,-122.5722127,"Kenwood, CA, USA",30,,250,250,,,150,12.0%,2,4,2,2,house,Yes,2011,Within 12 hours,100%,"June 6, 2017",house,,1800,,,Santa Rosa
311276,Charming Wine Country Santa Rosa Creekside Studio/Hot Tub,38.43237305,-122.66773224,"Santa Rosa, CA, USA",90,4.9,135,135,150,,75,12.0%,4,4,Studio,1,studio,Yes,2010,Within an hour,100%,"May 27, 2017",studio,1,400,4,cottage,Santa Rosa
703479,"Hot tub,pool, playground, fire pit, wine lovers private escape",38.491613,-122.761434,"Fulton, CA, USA",32,4.8,370,299,399,,200,12.0%,3,10,4,2,farmhouse,Yes,2014,Within 12 hours,100%,"June 6, 2017",farmhouse,,1900,,,Santa Rosa
643481,"Sally's Garden Cottage,  Sleeps 2-6, In Town, Walk to Shopping",38.445046,-122.689171,"Memorial Hospital Neighborhood, Santa Rosa, CA, USA",27,,218,195,265,,125,12.0%,3,6,2,1,cottage,Yes,2014,Within a few hours,100%,"June 5, 2017",cottage,,850,6,,Santa Rosa
574784,"Wine country retreat with game room, hot tub and family fun!",,,"Santa Rosa, CA, USA",34,4.8,275,275,,,200,12.0%,3,8,3,2,house,Yes,2014,Within a few hours,100%,"June 5, 2017",house,,1650,8,,Santa Rosa
4035391ha,Quiet and Private  Unique Cottage on Working Horse and Cattle Ranch,38.43120956,-122.82593299,"Santa Rosa, CA, USA",9,4.2,140,150,175,,,,2,4,1,1,cottage,Yes,2015,Within a day,80%,"May 26, 2017",cottage,,300,4,,Santa Rosa
369792,"Wine Country Escape: Luxury Estate, Pool, Sauna, Steam, Spa, Views, 5+ Bedrooms",,,"Santa Rosa, CA, USA",55,,,2,,,,12.0%,3,12,5,6,estate,Yes,2011,Within 2 days,100%,"May 30, 2017",estate,,7400,,,Santa Rosa
598664,Large Custom 6 Bedroom One Level Home/Wine Country,,,"Santa Rosa, CA, USA",50,4.9,495,495,,,150,12.0%,2,12,6,2,house,Yes,2014,Within an hour,100%,"June 6, 2017",house,,3200,,,Santa Rosa
